End Date,End Time,NO2
07/01/2020,12:00:00,47.0728
07/01/2020,13:00:00,42.86181
07/01/2020,14:00:00,47.38032
07/01/2020,15:00:00,43.36977
07/01/2020,16:00:00,41.98566
07/01/2020,17:00:00,32.39119
07/01/2020,18:00:00,37.66866
07/01/2020,19:00:00,37.8164
07/01/2020,20:00:00,25.25439
07/01/2020,21:00:00,22.90563
07/01/2020,22:00:00,17.27802
07/01/2020,23:00:00,16.66741
07/01/2020,24:00:00,6.04336
08/01/2020,01:00:00,4.90238
08/01/2020,02:00:00,2.72333
08/01/2020,03:00:00,3.58398
08/01/2020,04:00:00,2.61979
08/01/2020,05:00:00,3.05033
08/01/2020,06:00:00,7.79186
08/01/2020,07:00:00,24.88752
08/01/2020,08:00:00,44.63868
08/01/2020,09:00:00,50.83653
08/01/2020,10:00:00,
08/01/2020,11:00:00,
08/01/2020,12:00:00,74.59118
08/01/2020,13:00:00,64.04598
08/01/2020,14:00:00,63.25305
08/01/2020,15:00:00,62.15338
08/01/2020,16:00:00,67.78775
08/01/2020,17:00:00,86.77857
08/01/2020,18:00:00,74.50268
08/01/2020,19:00:00,75.41473
08/01/2020,20:00:00,67.01371
08/01/2020,21:00:00,59.89504
08/01/2020,22:00:00,54.63628
08/01/2020,23:00:00,37.00152
08/01/2020,24:00:00,34.005
09/01/2020,01:00:00,29.41115
09/01/2020,02:00:00,10.5915
09/01/2020,03:00:00,9.568
09/01/2020,04:00:00,5.67849
09/01/2020,05:00:00,4.29778
09/01/2020,06:00:00,7.31534
09/01/2020,07:00:00,18.8614
09/01/2020,08:00:00,26.82562
09/01/2020,09:00:00,40.20845
09/01/2020,10:00:00,37.97138
09/01/2020,11:00:00,39.84872
09/01/2020,12:00:00,31.12563
09/01/2020,13:00:00,29.61854
09/01/2020,14:00:00,42.1895
09/01/2020,15:00:00,62.76464
09/01/2020,16:00:00,57.99024
09/01/2020,17:00:00,61.0049
09/01/2020,18:00:00,48.61646
09/01/2020,19:00:00,46.14566
09/01/2020,20:00:00,46.78417
09/01/2020,21:00:00,21.36862
09/01/2020,22:00:00,21.88658
09/01/2020,23:00:00,16.26208
09/01/2020,24:00:00,17.43513
10/01/2020,01:00:00,14.27025
10/01/2020,02:00:00,10.48832
10/01/2020,03:00:00,6.44785
10/01/2020,04:00:00,7.6236
10/01/2020,05:00:00,7.16291
10/01/2020,06:00:00,10.33196
10/01/2020,07:00:00,26.88776
10/01/2020,08:00:00,43.40624
10/01/2020,09:00:00,56.28276
10/01/2020,10:00:00,63.97986
10/01/2020,11:00:00,56.17859
10/01/2020,12:00:00,56.79334
10/01/2020,13:00:00,52.63275
10/01/2020,14:00:00,57.3568
10/01/2020,15:00:00,60.40966
10/01/2020,16:00:00,64.26031
10/01/2020,17:00:00,70.08203
10/01/2020,18:00:00,63.29444
10/01/2020,19:00:00,56.81089
10/01/2020,20:00:00,49.4703
10/01/2020,21:00:00,54.80641
10/01/2020,22:00:00,51.79037
10/01/2020,23:00:00,51.27171
10/01/2020,24:00:00,41.62778
11/01/2020,01:00:00,37.43406
11/01/2020,02:00:00,26.54637
11/01/2020,03:00:00,23.01472
11/01/2020,04:00:00,17.90033
11/01/2020,05:00:00,11.51041
11/01/2020,06:00:00,9.15656
11/01/2020,07:00:00,15.19074
11/01/2020,08:00:00,23.46082
11/01/2020,09:00:00,36.13754
11/01/2020,10:00:00,39.86032
11/01/2020,11:00:00,35.00248
11/01/2020,12:00:00,36.43601
11/01/2020,13:00:00,36.54113
11/01/2020,14:00:00,35.82267
11/01/2020,15:00:00,39.45263
11/01/2020,16:00:00,39.53912
11/01/2020,17:00:00,41.33871
11/01/2020,18:00:00,42.60375
11/01/2020,19:00:00,40.47514
11/01/2020,20:00:00,27.18834
11/01/2020,21:00:00,22.84624
11/01/2020,22:00:00,19.83425
11/01/2020,23:00:00,18.4057
11/01/2020,24:00:00,13.29336
12/01/2020,01:00:00,13.3429
12/01/2020,02:00:00,10.84219
12/01/2020,03:00:00,10.53071
12/01/2020,04:00:00,14.67366
12/01/2020,05:00:00,5.78085
12/01/2020,06:00:00,4.96249
12/01/2020,07:00:00,6.60022
12/01/2020,08:00:00,8.23361
12/01/2020,09:00:00,9.00273
12/01/2020,10:00:00,12.93615
12/01/2020,11:00:00,17.38595
12/01/2020,12:00:00,18.10025
12/01/2020,13:00:00,18.75752
12/01/2020,14:00:00,19.78441
12/01/2020,15:00:00,24.63598
12/01/2020,16:00:00,31.68458
12/01/2020,17:00:00,43.48871
12/01/2020,18:00:00,57.15805
12/01/2020,19:00:00,47.25224
12/01/2020,20:00:00,35.99437
12/01/2020,21:00:00,38.9067
12/01/2020,22:00:00,33.13897
12/01/2020,23:00:00,29.09457
12/01/2020,24:00:00,21.78328
13/01/2020,01:00:00,17.08302
13/01/2020,02:00:00,14.63408
13/01/2020,03:00:00,14.22452
13/01/2020,04:00:00,12.89258
13/01/2020,05:00:00,14.16835
13/01/2020,06:00:00,19.276
13/01/2020,07:00:00,28.42571
13/01/2020,08:00:00,51.14005
13/01/2020,09:00:00,50.05119
13/01/2020,10:00:00,54.87988
13/01/2020,11:00:00,53.81663
13/01/2020,12:00:00,43.95848
13/01/2020,13:00:00,35.83942
13/01/2020,14:00:00,35.28247
13/01/2020,15:00:00,37.8631
13/01/2020,16:00:00,34.14055
13/01/2020,17:00:00,40.84108
13/01/2020,18:00:00,34.14178
13/01/2020,19:00:00,31.07609
13/01/2020,20:00:00,18.45483
13/01/2020,21:00:00,14.82556
13/01/2020,22:00:00,13.13601
13/01/2020,23:00:00,20.0898
13/01/2020,24:00:00,21.83223
14/01/2020,01:00:00,8.59392
14/01/2020,02:00:00,10.27891
14/01/2020,03:00:00,9.20716
14/01/2020,04:00:00,8.38891
14/01/2020,05:00:00,6.19012
14/01/2020,06:00:00,13.04185
14/01/2020,07:00:00,21.87808
14/01/2020,08:00:00,45.23905
14/01/2020,09:00:00,46.41791
14/01/2020,10:00:00,57.18618
14/01/2020,11:00:00,49.32772
14/01/2020,12:00:00,46.52514
14/01/2020,13:00:00,33.4609
14/01/2020,14:00:00,29.29578
14/01/2020,15:00:00,25.70978
14/01/2020,16:00:00,30.35593
14/01/2020,17:00:00,29.84605
14/01/2020,18:00:00,26.37572
14/01/2020,19:00:00,24.42141
14/01/2020,20:00:00,24.89447
14/01/2020,21:00:00,18.45547
14/01/2020,22:00:00,13.80399
14/01/2020,23:00:00,13.70116
14/01/2020,24:00:00,7.41307
15/01/2020,01:00:00,6.13978
15/01/2020,02:00:00,4.60437
15/01/2020,03:00:00,3.58222
15/01/2020,04:00:00,5.83476
15/01/2020,05:00:00,6.55063
15/01/2020,06:00:00,19.08234
15/01/2020,07:00:00,37.46436
15/01/2020,08:00:00,50.47189
15/01/2020,09:00:00,59.19338
15/01/2020,10:00:00,56.79069
15/01/2020,11:00:00,49.21779
15/01/2020,12:00:00,54.47643
15/01/2020,13:00:00,58.66683
15/01/2020,14:00:00,47.77756
15/01/2020,15:00:00,62.02291
15/01/2020,16:00:00,49.87008
15/01/2020,17:00:00,63.23786
15/01/2020,18:00:00,62.52828
15/01/2020,19:00:00,57.14226
15/01/2020,20:00:00,50.64901
15/01/2020,21:00:00,47.60232
15/01/2020,22:00:00,35.59229
15/01/2020,23:00:00,36.05421
15/01/2020,24:00:00,28.33466
16/01/2020,01:00:00,22.77883
16/01/2020,02:00:00,17.92037
16/01/2020,03:00:00,16.43412
16/01/2020,04:00:00,17.86642
16/01/2020,05:00:00,13.91853
16/01/2020,06:00:00,18.42606
16/01/2020,07:00:00,25.73677
16/01/2020,08:00:00,39.00733
16/01/2020,09:00:00,42.836
16/01/2020,10:00:00,42.65809
16/01/2020,11:00:00,41.34649
16/01/2020,12:00:00,34.47223
16/01/2020,13:00:00,39.06853
16/01/2020,14:00:00,36.77296
16/01/2020,15:00:00,38.4955
16/01/2020,16:00:00,37.31376
16/01/2020,17:00:00,40.93755
16/01/2020,18:00:00,44.19002
16/01/2020,19:00:00,38.91723
16/01/2020,20:00:00,24.96138
16/01/2020,21:00:00,28.1157
16/01/2020,22:00:00,21.94535
16/01/2020,23:00:00,23.47882
16/01/2020,24:00:00,20.20034
17/01/2020,01:00:00,15.51563
17/01/2020,02:00:00,13.57028
17/01/2020,03:00:00,15.05587
17/01/2020,04:00:00,17.61349
17/01/2020,05:00:00,18.27331
17/01/2020,06:00:00,15.20682
17/01/2020,07:00:00,34.17552
17/01/2020,08:00:00,51.7044
17/01/2020,09:00:00,58.75284
17/01/2020,10:00:00,54.63342
17/01/2020,11:00:00,47.60775
17/01/2020,12:00:00,57.18304
17/01/2020,13:00:00,52.76842
17/01/2020,14:00:00,43.47234
17/01/2020,15:00:00,48.5755
17/01/2020,16:00:00,53.397
17/01/2020,17:00:00,63.98312
17/01/2020,18:00:00,61.77129
17/01/2020,19:00:00,66.62493
17/01/2020,20:00:00,51.36238
17/01/2020,21:00:00,52.03778
17/01/2020,22:00:00,54.25623
17/01/2020,23:00:00,47.23619
17/01/2020,24:00:00,35.13127
18/01/2020,01:00:00,27.19046
18/01/2020,02:00:00,26.47213
18/01/2020,03:00:00,21.253
18/01/2020,04:00:00,16.79123
18/01/2020,05:00:00,17.26237
18/01/2020,06:00:00,20.53441
18/01/2020,07:00:00,29.32465
18/01/2020,08:00:00,45.38161
18/01/2020,09:00:00,58.13271
18/01/2020,10:00:00,56.93768
18/01/2020,11:00:00,62.91824
18/01/2020,12:00:00,53.55345
18/01/2020,13:00:00,50.16789
18/01/2020,14:00:00,57.41914
18/01/2020,15:00:00,61.80912
18/01/2020,16:00:00,59.46997
18/01/2020,17:00:00,81.54249
18/01/2020,18:00:00,71.70978
18/01/2020,19:00:00,63.33503
18/01/2020,20:00:00,55.99037
18/01/2020,21:00:00,50.51964
18/01/2020,22:00:00,52.4211
18/01/2020,23:00:00,40.78334
18/01/2020,24:00:00,39.00234
19/01/2020,01:00:00,20.38388
19/01/2020,02:00:00,20.28821
19/01/2020,03:00:00,17.16203
19/01/2020,04:00:00,23.50144
19/01/2020,05:00:00,26.27119
19/01/2020,06:00:00,20.4971
19/01/2020,07:00:00,20.854
19/01/2020,08:00:00,31.46426
19/01/2020,09:00:00,33.07422
19/01/2020,10:00:00,36.69583
19/01/2020,11:00:00,32.29576
19/01/2020,12:00:00,38.34058
19/01/2020,13:00:00,31.24306
19/01/2020,14:00:00,29.7535
19/01/2020,15:00:00,35.98104
19/01/2020,16:00:00,44.8062
19/01/2020,17:00:00,63.503
19/01/2020,18:00:00,68.38575
19/01/2020,19:00:00,68.3026
19/01/2020,20:00:00,61.29982
19/01/2020,21:00:00,55.02729
19/01/2020,22:00:00,52.8051
